City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,namp'o,38.7375,125.4078,281.95,80,0,1.48,KP,1731278944
83,ushuaia,-54.8,-68.3,278.96,87,100,9.77,AR,1731278780
84,motygino,58.1831,94.7592,270.94,97,100,3.37,RU,1731278946
85,richards bay,-28.783,32.0377,293.04,95,100,2.19,ZA,1731278730
86,porto novo,6.4965,2.6036,301.05,82,80,2.26,BJ,1731278948
87,haimen,23.1935,116.6142,294.59,90,71,3.65,CN,1731278950
88,fisterra,42.9049,-9.2629,289.67,94,64,3.91,ES,1731278951
89,nedryhayliv,50.834,33.8763,278.8,85,100,2.06,UA,1731278952
90,kavarna,43.4333,28.3333,281.8,99,100,1.64,BG,1731278953
91,jamestown,42.097,-79.2353,284.27,97,100,4.63,US,1731278788
92,puerto baquerizo moreno,-0.9,-89.6,297.7,61,20,5.14,EC,1731278955
93,humberto de campos,-2.5983,-43.4611,299.28,79,41,3.01,BR,1731278956
94,college,64.8569,-147.8028,263.09,78,20,0.0,US,1731278792
95,usakos,-22.0,15.6,291.93,42,2,1.33,NA,1731278958
96,launceston,-41.45,147.1667,287.95,54,20,7.72,AU,1731278959
97,yung shue wan,22.2333,114.1167,297.94,72,33,2.82,HK,1731278960
98,betio village,1.358,172.9211,304.17,71,64,7.03,KI,1731278961
99,olonkinbyen,70.9221,-8.7187,274.11,97,100,7.95,SJ,1731278962
100,colonia,50.9333,6.95,283.22,92,96,1.38,DE,1731278964
101,qarauyl,48.9451,79.255,273.4,79,100,12.14,KZ,1731278966
102,dudinka,69.4058,86.1778,248.98,97,73,3.57,RU,1731278967
103,quilmana,-12.95,-76.3833,292.3,80,72,2.63,PE,1731278968
104,badger,64.8,-147.5333,263.04,78,0,0.0,US,1731278969
105,port alfred,-33.5906,26.891,290.8,74,100,2.24,ZA,1731278970
106,chernyshevskiy,63.0128,112.4714,256.92,98,100,2.32,RU,1731278971
107,concepcion,-36.827,-73.0498,288.04,67,75,5.66,CL,1731278972
108,vadso,70.0744,29.7487,277.24,87,75,3.09,NO,1731278973
109,avarua,-21.2078,-159.775,299.18,61,40,4.12,CK,1731278974
110,carhuaz,-9.2819,-77.6447,288.23,87,100,2.6,PE,1731278976
111,kingston,17.997,-76.7936,302.68,79,20,5.66,JM,1731278721
112,halifax,44.6453,-63.5724,280.15,54,14,3.09,CA,1731278899
113,howrah,22.5892,88.3103,296.15,83,0,3.09,IN,1731278722
114,ola,59.5833,151.2833,264.15,71,100,9.96,RU,1731278980
115,lagoa,39.05,-27.9833,291.9,85,23,8.66,PT,1731278981
116,ulladulla,-35.35,150.4667,290.4,72,100,0.84,AU,1731278982
117,revda,56.801,59.9303,265.68,90,100,4.55,RU,1731278799
118,cidreira,-30.1811,-50.2056,293.89,75,0,9.38,BR,1731278984
